Model,Test,Train,AUC,MCC
GNB,Bdis,Bdis,0.7851478206114242 +/- 0.011587082105527126,0.7851478206114242 +/- 0.011587082105527126
GNB,Bdis,Bdis_Bal,0.8026243337869987 +/- 0,0.8026243337869987 +/- 0
GNB,Bdis,BdisA,0.7876015281909541 +/- 0,0.7876015281909541 +/- 0
GNB,Bdis,BdisA_Bal,0.7842550647085393 +/- 0,0.7842550647085393 +/- 0
GNB,Bdis,BdisT,0.7680196181227792 +/- 0,0.7680196181227792 +/- 0
GNB,Bdis,BdisT_Bal,0.7700115788994575 +/- 0,0.7700115788994575 +/- 0
GNB,Bdis,Osat,0.7025179206603314 +/- 0,0.7025179206603314 +/- 0
GNB,Bdis,Osat_Bal,0.7019996436234586 +/- 0,0.7019996436234586 +/- 0
GNB,Bdis_Bal,Bdis,0.7892383062341612 +/- 0,0.7892383062341612 +/- 0
GNB,Bdis_Bal,Bdis_Bal,0.7854307862991539 +/- 0.013456750116137506,0.7854307862991539 +/- 0.013456750116137506
GNB,Bdis_Bal,BdisA,0.7899606760686237 +/- 0,0.7899606760686237 +/- 0
GNB,Bdis_Bal,BdisA_Bal,0.7870108106712038 +/- 0,0.7870108106712038 +/- 0
GNB,Bdis_Bal,BdisT,0.7696854617734563 +/- 0,0.7696854617734563 +/- 0
GNB,Bdis_Bal,BdisT_Bal,0.7711835936858743 +/- 0,0.7711835936858743 +/- 0
GNB,Bdis_Bal,Osat,0.7017971196029448 +/- 0,0.7017971196029448 +/- 0
GNB,Bdis_Bal,Osat_Bal,0.7011776666988396 +/- 0,0.7011776666988396 +/- 0
GNB,BdisA,Bdis,0.7804001452860123 +/- 0,0.7804001452860123 +/- 0
GNB,BdisA,Bdis_Bal,0.7784653778470595 +/- 0,0.7784653778470595 +/- 0
GNB,BdisA,BdisA,0.7828885319798278 +/- 0.013125002623623788,0.7828885319798278 +/- 0.013125002623623788
GNB,BdisA,BdisA_Bal,0.7679220708096511 +/- 0,0.7679220708096511 +/- 0
GNB,BdisA,BdisT,0.7666133741265302 +/- 0,0.7666133741265302 +/- 0
GNB,BdisA,BdisT_Bal,0.7676106431494032 +/- 0,0.7676106431494032 +/- 0
GNB,BdisA,Osat,0.699477383487833 +/- 0,0.699477383487833 +/- 0
GNB,BdisA,Osat_Bal,0.6986820634016141 +/- 0,0.6986820634016141 +/- 0
GNB,BdisA_Bal,Bdis,0.7832720782555889 +/- 0,0.7832720782555889 +/- 0
GNB,BdisA_Bal,Bdis_Bal,0.7815650433736065 +/- 0,0.7815650433736065 +/- 0
GNB,BdisA_Bal,BdisA,0.8001996691430915 +/- 0,0.8001996691430915 +/- 0
