Reference_Species	Query_Species	dN	dS	dNdS	Reference_Gene	Query_gene
bdis_Tek2	osat_cds	0.1219	0.2884	0.4225	Brdisv1Tek-21013783m	Os01t0271700-01
bdis_Tek2	osat_cds	0.0379	0.4353	0.0870	Brdisv1Tek-21032018m	Os10t0412000-01
bdis_Tek2	osat_cds	0.1077	0.4645	0.2318	Brdisv1Tek-21010984m	Os03t0205000-01
bdis_Tek2	osat_cds	0.0965	0.4005	0.2410	Brdisv1Tek-21019258m	Os01t0739400-01
bdis_Tek2	osat_cds	0.1865	0.5413	0.3445	Brdisv1Tek-21001023m	Os03t0777600-01
bdis_Tek2	osat_cds	0.1343	0.7468	0.1798	Brdisv1Tek-21020314m	Os04t0412200-01
bdis_Tek2	osat_cds	0.0409	0.4877	0.0839	Brdisv1Tek-21003452m	Os07t0588800-01
bdis_Tek2	osat_cds	0.2168	0.5491	0.3948	Brdisv1Tek-21039115m	Os04t0512400-01
bdis_Tek2	osat_cds	0.0724	0.3662	0.1978	Brdisv1Tek-21043585m	Os01t0339900-01
bdis_Tek2	osat_cds	0.3175	0.4075	0.7791	Brdisv1Tek-21006834m	Os02t0767600-00
bdis_Tek2	osat_cds	0.0535	0.5576	0.0959	Brdisv1Tek-21012660m	Os07t0292800-01
bdis_Tek2	osat_cds	0.0861	0.6193	0.1391	Brdisv1Tek-21040937m	Os04t0682000-01
bdis_Tek2	osat_cds	0.3281	0.3571	0.9187	Brdisv1Tek-21000550m	Os03t0819700-01
bdis_Tek2	osat_cds	0.2167	2.2301	0.0972	Brdisv1Tek-21021121m	Os01t0937050-01
bdis_Tek2	osat_cds	0.1272	0.4281	0.2971	Brdisv1Tek-21030453m	Os08t0112400-01
bdis_Tek2	osat_cds	0.1286	0.6814	0.1887	Brdisv1Tek-21012483m	Os01t0128300-01
bdis_Tek2	osat_cds	0.0358	0.3768	0.0951	Brdisv1Tek-21010804m	Os03t0215200-01
bdis_Tek2	osat_cds	0.1867	0.4553	0.4101	Brdisv1Tek-21010914m	Os03t0210800-01
bdis_Tek2	osat_cds	0.2024	1.0165	0.1991	Brdisv1Tek-21023994m	Os10t0410750-00
bdis_Tek2	osat_cds	0.1105	0.3936	0.2808	Brdisv1Tek-21014051m	Os01t0314100-01
bdis_Tek2	osat_cds	0.1705	0.6010	0.2837	Brdisv1Tek-21007333m	Os06t0154400-01
bdis_Tek2	osat_cds	0.4177	0.7379	0.5661	Brdisv1Tek-21008834m	Os01t0956500-01
bdis_Tek2	osat_cds	0.0483	0.6089	0.0792	Brdisv1Tek-21021355m	Os01t0953600-02
bdis_Tek2	osat_cds	0.2813	1.4073	0.1999	Brdisv1Tek-21003114m	Os06t0299100-01
bdis_Tek2	osat_cds	0.1044	0.4818	0.2167	Brdisv1Tek-21037922m	Os04t0347600-01
bdis_Tek2	osat_cds	0.1291	1.3886	0.0930	Brdisv1Tek-21001961m	Os12t0572700-00
bdis_Tek2	osat_cds	0.1103	0.7032	0.1568	Brdisv1Tek-21003196m	Os04t0507800-01
bdis_Tek2	osat_cds	0.5192	0.5767	0.9002	Brdisv1Tek-21000511m	Os10t0423800-00
bdis_Tek2	osat_cds	0.1563	0.7127	0.2192	Brdisv1Tek-21019582m	Os05t0509900-01
bdis_Tek2	osat_cds	0.0366	0.2862	0.1278	Brdisv1Tek-21013572m	Os01t0251100-01
bdis_Tek2	osat_cds	0.0558	3.1942	0.0175	Brdisv1Tek-21030663m	Os08t0140300-01
bdis_Tek2	osat_cds	0.1108	0.8750	0.1266	Brdisv1Tek-21039318m	Os04t0539500-02
bdis_Tek2	osat_cds	0.1131	1.0585	0.1068	Brdisv1Tek-21042354m	Os09t0424200-01
bdis_Tek2	osat_cds	0.4559	0.6706	0.6798	Brdisv1Tek-21005765m	Os02t0553000-01
bdis_Tek2	osat_cds	0.0858	0.4482	0.1914	Brdisv1Tek-21009902m	Os03t0300200-01
bdis_Tek2	osat_cds	0.0450	0.5295	0.0850	Brdisv1Tek-21032405m	Os10t0488100-01
bdis_Tek2	osat_cds	0.0313	0.4032	0.0775	Brdisv1Tek-21004867m	Os05t0490100-01
bdis_Tek2	osat_cds	0.5584	0.2857	1.9544	Brdisv1Tek-21021857m	Os06t0122200-01
bdis_Tek2	osat_cds	0.1773	0.6102	0.2905	Brdisv1Tek-21024261m	Os11t0537350-00
bdis_Tek2	osat_cds	0.2930	2.1901	0.1338	Brdisv1Tek-21036841m	Os06t0727900-00
bdis_Tek2	osat_cds	0.1074	0.7941	0.1352	Brdisv1Tek-21015951m	Os05t0439300-01
bdis_Tek2	osat_cds	0.3667	0.6707	0.5468	Brdisv1Tek-21009129m	Os03t0412900-00
bdis_Tek2	osat_cds	0.4790	0.4859	0.9859	Brdisv1Tek-21025620m	Os04t0497900-01
bdis_Tek2	osat_cds	0.1878	0.4293	0.4374	Brdisv1Tek-21011145m	Os03t0191700-01
bdis_Tek2	osat_cds	0.0572	0.4618	0.1238	Brdisv1Tek-21012703m	Os01t0151600-01
bdis_Tek2	osat_cds	0.1102	0.4918	0.2240	Brdisv1Tek-21043408m	Os08t0328300-02
bdis_Tek2	osat_cds	0.0087	0.3640	0.0239	Brdisv1Tek-21015356m	Os05t0516600-01
bdis_Tek2	osat_cds	0.0603	0.8763	0.0688	Brdisv1Tek-21009927m	Os03t0297600-01
