Reference_Species	Query_Species	dN	dS	dNdS	Reference_Gene	Query_gene
bdis_cds	bdis_cds	0.2137	0.1476	1.4477	Bradi1g02850	Bradi1g02880
bdis_cds	bdis_cds	0.1876	0.2656	0.7064	Bradi1g49805	Bradi1g49800
bdis_cds	bdis_cds	0.0269	1.0518	0.0255	Bradi4g00660	Bradi1g12480
bdis_cds	bdis_cds	0.1875	0.8237	0.2276	Bradi5g15627	Bradi1g55814
bdis_cds	bdis_cds	0.1674	1.8588	0.0901	Bradi1g30740	Bradi2g40410
bdis_cds	bdis_cds	17.9792	13.2718	1.3547	Bradi1g27745	Bradi2g16854
bdis_cds	bdis_cds	0.0842	0.9691	0.0868	Bradi2g16520	Bradi2g46080
bdis_cds	bdis_cds	0.0243	0.0150	1.6138	Bradi1g48418	Bradi3g24693
bdis_cds	bdis_cds	0.0726	1.0113	0.0718	Bradi1g10390	Bradi4g06010
bdis_cds	bdis_cds	0.1025	0.2672	0.3836	Bradi4g12893	Bradi2g09427
bdis_cds	bdis_cds	0.1257	1.0233	0.1229	Bradi4g29560	Bradi3g36110
bdis_cds	bdis_cds	0.0414	0.0701	0.5909	Bradi1g43151	Bradi2g26145
bdis_cds	bdis_cds	0.9144	0.5976	1.5300	Bradi2g26090	Bradi5g17347
bdis_cds	bdis_cds	0.2054	0.9237	0.2223	Bradi3g08637	Bradi1g37940
bdis_cds	bdis_cds	0.2563	3.5951	0.0713	Bradi2g08200	Bradi2g31700
bdis_cds	bdis_cds	0.0962	0.5997	0.1604	Bradi4g40550	Bradi4g22120
bdis_cds	bdis_cds	0.0195	0.0437	0.4460	Bradi3g06254	Bradi1g57415
bdis_cds	bdis_cds	0.4289	0.8971	0.4781	Bradi5g05140	Bradi1g28380
bdis_cds	bdis_cds	0.1147	0.1180	0.9724	Bradi3g06916	Bradi3g06922
bdis_cds	bdis_cds	0.1638	0.4644	0.3528	Bradi5g13816	Bradi1g20805
bdis_cds	bdis_cds	0.0084	0.0171	0.4914	Bradi1g69470	Bradi1g69450
bdis_cds	bdis_cds	0.5151	0.4500	1.1446	Bradi1g51340	Bradi3g50300
bdis_cds	bdis_cds	0.1139	0.4179	0.2725	Bradi5g03530	Bradi5g03577
bdis_cds	bdis_cds	0.3336	0.2542	1.3123	Bradi3g33266	Bradi3g47140
bdis_cds	bdis_cds	0.0181	0.0311	0.5825	Bradi1g31109	Bradi3g04758
bdis_cds	bdis_cds	0.0821	0.1489	0.5515	Bradi3g42877	Bradi5g17947
bdis_cds	bdis_cds	0.8086	0.4333	1.8660	Bradi2g50250	Bradi2g43230
bdis_cds	bdis_cds	0.5895	0.6640	0.8878	Bradi5g26460	Bradi2g17310
bdis_cds	bdis_cds	0.3731	0.9885	0.3774	Bradi1g10440	Bradi1g23660
bdis_cds	bdis_cds	0.0368	0.0432	0.8527	Bradi2g02514	Bradi2g02426
bdis_cds	bdis_cds	0.4175	0.8916	0.4683	Bradi2g07082	Bradi2g45430
bdis_cds	bdis_cds	0.1402	0.5285	0.2653	Bradi3g50740	Bradi3g50750
bdis_cds	bdis_cds	0.0389	0.1095	0.3554	Bradi2g31103	Bradi1g73618
bdis_cds	bdis_cds	0.0750	0.4473	0.1676	Bradi3g02044	Bradi3g02020
bdis_cds	bdis_cds	0.4505	0.3591	1.2545	Bradi4g39780	Bradi4g21150
bdis_cds	bdis_cds	0.0681	0.2769	0.2458	Bradi3g48746	Bradi3g48753
bdis_cds	bdis_cds	0.1503	1.3111	0.1147	Bradi4g41410	Bradi1g53527
bdis_cds	bdis_cds	0.4353	0.3957	1.0999	Bradi3g55410	Bradi1g09090
bdis_cds	bdis_cds	0.4948	1.4002	0.3534	Bradi2g21980	Bradi1g57147
bdis_cds	bdis_cds	0.2972	3.5484	0.0838	Bradi1g61260	Bradi1g69730
bdis_cds	bdis_cds	0.1881	0.7666	0.2453	Bradi2g20687	Bradi2g51967
bdis_cds	bdis_cds	0.7501	0.9685	0.7745	Bradi4g11614	Bradi4g39933
bdis_cds	bdis_cds	0.1874	1.0703	0.1751	Bradi3g37610	Bradi4g05130
bdis_cds	bdis_cds	0.2709	0.3184	0.8510	Bradi5g01202	Bradi5g01199
bdis_cds	bdis_cds	0.1630	1.8669	0.0873	Bradi2g44020	Bradi2g15410
bdis_cds	bdis_cds	0.2602	1.3104	0.1986	Bradi1g60021	Bradi4g22632
bdis_cds	bdis_cds	0.1405	0.2584	0.5437	Bradi3g01406	Bradi3g01412
bdis_cds	bdis_cds	0.2034	1.9338	0.1052	Bradi1g37470	Bradi3g08230
bdis_cds	bdis_cds	0.3844	0.9239	0.4161	Bradi2g01420	Bradi2g01387
bdis_cds	bdis_cds	0.1880	1.0132	0.1856	Bradi4g20511	Bradi1g15890
bdis_cds	bdis_cds	0.0406	0.6262	0.0648	Bradi5g15850	Bradi3g49310
bdis_cds	bdis_cds	0.3485	0.6808	0.5120	Bradi1g76296	Bradi1g76294
bdis_cds	bdis_cds	0.1174	0.2900	0.4047	Bradi3g27136	Bradi3g51617
bdis_cds	bdis_cds	0.1674	0.6359	0.2632	Bradi2g42932	Bradi2g14580
bdis_cds	bdis_cds	0.0227	0.8267	0.0274	Bradi3g22550	Bradi1g68080
bdis_cds	bdis_cds	0.5114	1.6059	0.3185	Bradi5g10980	Bradi5g00880
bdis_cds	bdis_cds	0.3630	0.3434	1.0569	Bradi4g04945	Bradi3g44503
bdis_cds	bdis_cds	0.0887	0.1632	0.5434	Bradi4g02280	Bradi3g00780
bdis_cds	bdis_cds	0.1938	0.9272	0.2090	Bradi2g47560	Bradi2g17860
bdis_cds	bdis_cds	0.0040	0.0453	0.0888	Bradi4g41040	Bradi4g41030
bdis_cds	bdis_cds	0.1956	0.6271	0.3119	Bradi2g36170	Bradi2g36179
bdis_cds	bdis_cds	0.5079	1.3812	0.3677	Bradi1g23851	Bradi1g23832
bdis_cds	bdis_cds	0.1609	1.4055	0.1145	Bradi4g37770	Bradi5g24370
bdis_cds	bdis_cds	0.4165	0.6037	0.6898	Bradi5g01240	Bradi2g41620
bdis_cds	bdis_cds	0.0065	0.0001	99.0000	Bradi1g05744	Bradi5g09696
bdis_cds	bdis_cds	0.2055	4.0884	0.0503	Bradi3g24410	Bradi1g56595
bdis_cds	bdis_cds	0.2686	1.5110	0.1778	Bradi1g50590	Bradi3g52530
bdis_cds	bdis_cds	0.0392	2.8338	0.0138	Bradi1g36400	Bradi3g07370
bdis_cds	bdis_cds	0.0555	0.0927	0.5990	Bradi1g19781	Bradi1g53282
