Reference_Species	Query_Species	dN	dS	dNdS	Reference_Gene	Query_gene
bdis_Tek2	bdis_Tek2	0.2987	0.4034	0.7404	Brdisv1Tek-21043329m	Brdisv1Tek-21025485m
bdis_Tek2	bdis_Tek2	0.3027	2.5479	0.1188	Brdisv1Tek-21004600m	Brdisv1Tek-21001809m
bdis_Tek2	bdis_Tek2	0.3005	0.7027	0.4276	Brdisv1Tek-21006213m	Brdisv1Tek-21036096m
bdis_Tek2	bdis_Tek2	0.5801	1.1845	0.4898	Brdisv1Tek-21014726m	Brdisv1Tek-21020226m
bdis_Tek2	bdis_Tek2	0.0996	1.2629	0.0789	Brdisv1Tek-21010212m	Brdisv1Tek-21010207m
bdis_Tek2	bdis_Tek2	0.1017	0.0818	1.2427	Brdisv1Tek-21023316m	Brdisv1Tek-21037383m
bdis_Tek2	bdis_Tek2	0.0130	0.5137	0.0254	Brdisv1Tek-21027545m	Brdisv1Tek-21032782m
bdis_Tek2	bdis_Tek2	0.0685	0.2485	0.2755	Brdisv1Tek-21010142m	Brdisv1Tek-21010148m
bdis_Tek2	bdis_Tek2	0.1916	3.2348	0.0592	Brdisv1Tek-21026594m	Brdisv1Tek-21034324m
bdis_Tek2	bdis_Tek2	0.1122	1.0189	0.1101	Brdisv1Tek-21013933m	Brdisv1Tek-21017259m
bdis_Tek2	bdis_Tek2	0.3219	0.8574	0.3754	Brdisv1Tek-21031378m	Brdisv1Tek-21002755m
bdis_Tek2	bdis_Tek2	0.0852	0.5884	0.1448	Brdisv1Tek-21029730m	Brdisv1Tek-21005869m
bdis_Tek2	bdis_Tek2	0.3402	0.1595	2.1329	Brdisv1Tek-21041927m	Brdisv1Tek-21004751m
bdis_Tek2	bdis_Tek2	0.2202	3.5353	0.0623	Brdisv1Tek-21005207m	Brdisv1Tek-21021754m
bdis_Tek2	bdis_Tek2	0.0720	0.1768	0.4074	Brdisv1Tek-21022437m	Brdisv1Tek-21032383m
bdis_Tek2	bdis_Tek2	0.3085	1.2825	0.2406	Brdisv1Tek-21019429m	Brdisv1Tek-21025911m
bdis_Tek2	bdis_Tek2	0.1176	0.2735	0.4300	Brdisv1Tek-21000793m	Brdisv1Tek-21000792m
