Reference_Species	Query_Species	dN	dS	dNdS	Reference_Gene	Query_gene
bdis_cds	bdis_cds	0.0000	0.0000	0.0010	Bradi4g10392	Bradi4g10392
bdis_cds	bdis_cds	0.0000	0.0000	0.7372	Bradi2g43856	Bradi2g43856
bdis_cds	bdis_cds	0.0000	0.0000	0.3810	Bradi1g02850	Bradi1g02850
bdis_cds	bdis_cds	0.0000	0.0000	0.3966	Bradi2g53600	Bradi2g53600
bdis_cds	bdis_cds	0.0000	0.0000	0.0010	Bradi1g20830	Bradi1g20830
bdis_cds	bdis_cds	0.0000	0.0000	99.0000	Bradi2g45960	Bradi2g45960
bdis_cds	bdis_cds	0.0000	0.0000	0.3632	Bradi3g47930	Bradi3g47930
bdis_cds	bdis_cds	0.0000	0.0000	0.0010	Bradi1g08891	Bradi1g08891
bdis_cds	bdis_cds	0.0000	0.0000	0.4926	Bradi1g49805	Bradi1g49805
bdis_cds	bdis_cds	0.0000	0.0000	0.3102	Bradi4g00660	Bradi4g00660
bdis_cds	bdis_cds	0.0000	0.0000	0.4374	Bradi1g30740	Bradi1g30740
bdis_cds	bdis_cds	0.0000	0.0000	0.3915	Bradi5g15627	Bradi5g15627
bdis_cds	bdis_cds	0.0000	0.0000	0.0010	Bradi3g02570	Bradi3g02570
bdis_cds	bdis_cds	0.0000	0.0000	0.4755	Bradi1g05390	Bradi1g05390
bdis_cds	bdis_cds	0.0000	0.0000	0.0010	Bradi1g27745	Bradi1g27745
bdis_cds	bdis_cds	0.0000	0.0000	0.4329	Bradi2g16520	Bradi2g16520
bdis_cds	bdis_cds	0.0000	0.0000	0.4004	Bradi3g56217	Bradi3g56217
bdis_cds	bdis_cds	0.0000	0.0000	0.4369	Bradi3g54710	Bradi3g54710
bdis_cds	bdis_cds	0.0000	0.0000	0.5215	Bradi1g48418	Bradi1g48418
bdis_cds	bdis_cds	0.0000	0.0000	99.0000	Bradi1g10390	Bradi1g10390
bdis_cds	bdis_cds	0.0000	0.0000	0.0010	Bradi2g52530	Bradi2g52530
bdis_cds	bdis_cds	0.0000	0.0000	0.0010	Bradi5g22400	Bradi5g22400
bdis_cds	bdis_cds	0.0000	0.0000	0.4802	Bradi4g12893	Bradi4g12893
bdis_cds	bdis_cds	0.0000	0.0000	0.4571	Bradi4g29560	Bradi4g29560
bdis_cds	bdis_cds	0.0000	0.0000	0.0010	Bradi5g00540	Bradi5g00540
