Reference_Species	Query_Species	dN	dS	dNdS	Reference_Gene	Query_gene
osat_cds	osat_cds	0.1663	4.6522	0.0358	Os03t0686300-00	Os06t0488200-01
osat_cds	osat_cds	0.9220	0.7238	1.2738	Os01t0595900-01	Os01t0596001-00
osat_cds	osat_cds	0.0832	0.0759	1.0953	Os02t0307400-00	Os02t0307075-00
osat_cds	osat_cds	0.3096	0.5774	0.5363	Os07t0240400-01	Os10t0178200-01
osat_cds	osat_cds	0.3215	89.4127	0.0036	Os02t0793700-02	Os03t0321000-01
osat_cds	osat_cds	0.5527	0.9450	0.5848	Os04t0245000-00	Os07t0596300-02
osat_cds	osat_cds	0.6577	0.4716	1.3945	Os10t0547500-01	Os10t0547650-00
osat_cds	osat_cds	0.6159	0.6494	0.9483	Os08t0561550-00	Os08t0561500-01
osat_cds	osat_cds	0.2632	2.7559	0.0955	Os02t0466400-01	Os10t0576100-01
osat_cds	osat_cds	0.2802	0.4869	0.5755	Os01t0152950-00	Os01t0152200-00
osat_cds	osat_cds	0.1592	0.2794	0.5699	Os11t0618800-00	Os11t0618700-01
osat_cds	osat_cds	0.0001	0.0734	0.0010	Os09t0347500-01	Os09t0347700-01
osat_cds	osat_cds	0.0124	0.0244	0.5077	Os06t0132000-00	Os05t0391300-00
osat_cds	osat_cds	0.0000	0.0000	0.3468	Os02t0438500-01	Os11t0206850-00
osat_cds	osat_cds	0.0112	0.1235	0.0906	Os11t0128500-01	Os12t0125000-01
osat_cds	osat_cds	0.3276	0.3155	1.0381	Os07t0119000-01	Os03t0764300-01
osat_cds	osat_cds	0.4895	0.6582	0.7436	Os03t0684300-01	Os03t0167600-01
osat_cds	osat_cds	0.6973	0.4500	1.5495	Os08t0205800-01	Os02t0729801-00
osat_cds	osat_cds	0.0450	0.8392	0.0536	Os06t0563300-01	Os02t0224200-01
osat_cds	osat_cds	0.1490	1.0301	0.1446	Os08t0469500-01	Os09t0454300-01
osat_cds	osat_cds	0.0044	0.0132	0.3310	Os11t0126100-01	Os11t0129000-00
osat_cds	osat_cds	0.2238	1.2745	0.1756	Os07t0452600-00	Os08t0180400-00
osat_cds	osat_cds	0.6207	0.6031	1.0291	Os10t0476000-01	Os09t0453900-01
osat_cds	osat_cds	0.7908	0.6829	1.1580	Os11t0221000-01	Os05t0491700-00
osat_cds	osat_cds	0.6359	0.4826	1.3175	Os05t0405400-01	Os11t0520500-00
osat_cds	osat_cds	0.4959	0.2842	1.7452	Os08t0346001-00	Os08t0345800-01
osat_cds	osat_cds	0.0998	0.3209	0.3110	Os01t0545500-01	Os11t0681400-00
osat_cds	osat_cds	0.4378	0.5652	0.7746	Os02t0156000-00	Os04t0109100-01
osat_cds	osat_cds	0.1312	1.8792	0.0698	Os10t0395000-01	Os03t0179400-01
osat_cds	osat_cds	0.1006	0.7835	0.1284	Os09t0402300-01	Os08t0428900-01
osat_cds	osat_cds	0.0090	0.0184	0.4902	Os11t0691190-00	Os11t0657700-00
osat_cds	osat_cds	0.0167	0.0002	99.0000	Os06t0614550-01	Os09t0450700-01
osat_cds	osat_cds	0.0712	1.4567	0.0489	Os09t0361100-01	Os01t0588500-01
osat_cds	osat_cds	0.1553	1.5901	0.0977	Os06t0275800-01	Os02t0727100-01
osat_cds	osat_cds	0.2372	0.7018	0.3379	Os03t0116000-00	Os10t0521300-01
osat_cds	osat_cds	0.0674	0.4440	0.1518	Os05t0181300-01	Os05t0181700-01
osat_cds	osat_cds	0.1209	0.8115	0.1490	Os11t0461200-01	Os11t0457300-01
osat_cds	osat_cds	0.0000	0.0000	0.5202	Os03t0107600-02	Os04t0119300-00
osat_cds	osat_cds	1.0961	0.5280	2.0758	Os11t0540000-00	Os11t0539901-01
osat_cds	osat_cds	0.0057	0.0001	99.0000	Os01t0894050-00	Os05t0218001-00
osat_cds	osat_cds	0.2066	0.4802	0.4301	Os04t0480050-00	Os01t0962100-01
osat_cds	osat_cds	0.4018	1.0940	0.3673	Os01t0934100-01	Os05t0370300-00
osat_cds	osat_cds	0.0104	0.0031	3.3059	Os06t0595700-00	Os02t0813200-00
osat_cds	osat_cds	0.0172	0.0250	0.6872	Os01t0523800-00	Os11t0205200-00
osat_cds	osat_cds	0.0086	0.1059	0.0809	Os01t0896700-00	Os01t0896800-01
osat_cds	osat_cds	0.6236	0.7090	0.8795	Os08t0518150-00	Os08t0518100-01
osat_cds	osat_cds	0.6184	0.8812	0.7017	Os07t0170100-01	Os03t0217000-01
osat_cds	osat_cds	0.6173	0.8895	0.6940	Os09t0306700-01	Os10t0391100-01
osat_cds	osat_cds	0.5433	0.5787	0.9388	Os01t0756000-00	Os03t0310400-01
osat_cds	osat_cds	0.6072	0.3928	1.5460	Os12t0149750-00	Os12t0149700-01
osat_cds	osat_cds	0.1776	0.4135	0.4296	Os07t0251900-01	Os11t0173432-00
osat_cds	osat_cds	0.4556	0.7237	0.6295	Os05t0473300-01	Os02t0752800-01
osat_cds	osat_cds	0.0040	0.0000	99.0000	Os04t0329300-00	Os04t0317400-00
osat_cds	osat_cds	0.0315	0.0612	0.5152	Os06t0151850-00	Os01t0666101-00
osat_cds	osat_cds	0.0266	0.7591	0.0351	Os03t0410900-01	Os07t0608700-01
osat_cds	osat_cds	0.0057	0.0001	99.0000	Os05t0218001-00	Os01t0894050-00
osat_cds	osat_cds	0.1848	0.1485	1.2444	Os04t0255525-01	Os06t0539250-01
osat_cds	osat_cds	0.1710	0.7059	0.2423	Os03t0411600-00	Os07t0607500-01
osat_cds	osat_cds	0.3182	0.4961	0.6415	Os08t0170800-01	Os08t0170200-00
osat_cds	osat_cds	0.0025	0.0000	99.0000	Os04t0542100-01	Os07t0564533-00
osat_cds	osat_cds	0.5055	0.6515	0.7760	Os01t0797800-01	Os02t0208675-00
osat_cds	osat_cds	0.0200	0.3139	0.0638	Os07t0124500-01	Os02t0123300-00
osat_cds	osat_cds	0.0000	0.0000	0.1433	Os06t0176100-00	Os06t0177200-00
osat_cds	osat_cds	0.0268	0.1406	0.1908	Os12t0105500-01	Os11t0105800-01
osat_cds	osat_cds	0.0725	1.6072	0.0451	Os05t0516600-01	Os01t0227300-01
osat_cds	osat_cds	0.1750	1.3243	0.1321	Os02t0592400-01	Os07t0673900-01
osat_cds	osat_cds	0.4966	0.5857	0.8479	Os02t0207900-01	Os02t0207800-01
osat_cds	osat_cds	0.1048	0.9487	0.1105	Os10t0184300-01	Os03t0251500-01
osat_cds	osat_cds	0.4326	0.4911	0.8809	Os03t0169600-01	Os03t0169700-01
osat_cds	osat_cds	0.4407	0.7945	0.5547	Os03t0840200-01	Os03t0840275-00
osat_cds	osat_cds	0.0214	0.0297	0.7204	Os05t0426033-01	Os07t0223766-01
osat_cds	osat_cds	0.1085	1.1944	0.0909	Os03t0428700-01	Os10t0439100-00
osat_cds	osat_cds	0.1039	0.1896	0.5483	Os07t0620700-01	Os10t0340301-01
