Reference_Species	Query_Species	dN	dS	dNdS	Reference_Gene	Query_gene
bdis_cds	osat_cds	0.1258	0.4644	0.2708	Bradi2g53600	Os01t0823400-01
bdis_cds	osat_cds	0.0524	0.4236	0.1238	Bradi1g20830	Os07t0615900-02
bdis_cds	osat_cds	0.4202	0.3881	1.0827	Bradi2g45960	Os01t0666500-01
bdis_cds	osat_cds	0.0963	1.0908	0.0883	Bradi3g47930	Os04t0485400-02
bdis_cds	osat_cds	0.1539	1.2138	0.1268	Bradi1g08891	Os03t0745000-01
bdis_cds	osat_cds	0.7121	1.1059	0.6439	Bradi1g49805	Os12t0455000-01
bdis_cds	osat_cds	0.0192	0.4934	0.0389	Bradi4g00660	Os12t0636800-01
bdis_cds	osat_cds	0.1023	0.4764	0.2147	Bradi3g02570	Os02t0125700-01
bdis_cds	osat_cds	0.1832	0.4642	0.3947	Bradi1g05390	Os03t0798200-01
bdis_cds	osat_cds	0.0900	0.3705	0.2430	Bradi1g27745	Os07t0483400-01
bdis_cds	osat_cds	0.0313	0.5603	0.0558	Bradi2g16520	Os05t0564200-01
bdis_cds	osat_cds	0.1236	1.5274	0.0809	Bradi3g56217	Os02t0729100-00
bdis_cds	osat_cds	0.1092	0.5547	0.1969	Bradi3g54710	Os02t0806000-01
bdis_cds	osat_cds	0.0529	0.9935	0.0532	Bradi1g10390	Os12t0530000-01
bdis_cds	osat_cds	0.2353	0.8684	0.2710	Bradi2g52530	Os01t0800900-01
bdis_cds	osat_cds	0.4400	0.4775	0.9216	Bradi4g12893	Os11t0462500-00
bdis_cds	osat_cds	0.0515	0.7129	0.0722	Bradi4g29560	Os09t0386500-01
bdis_cds	osat_cds	0.0911	0.4529	0.2011	Bradi5g00540	Os04t0164900-01
bdis_cds	osat_cds	0.0662	0.3619	0.1829	Bradi2g46510	Os01t0678500-01
bdis_cds	osat_cds	0.1530	0.5128	0.2984	Bradi2g26090	Os05t0398000-02
bdis_cds	osat_cds	0.0373	0.6409	0.0581	Bradi3g03040	Os02t0133800-01
bdis_cds	osat_cds	0.1210	0.3523	0.3436	Bradi3g08637	Os02t0227400-01
bdis_cds	osat_cds	0.1761	0.4482	0.3930	Bradi3g42080	Os08t0546400-01
bdis_cds	osat_cds	0.1298	0.3464	0.3747	Bradi3g14270	Os08t0129900-00
bdis_cds	osat_cds	0.2293	1.6309	0.1406	Bradi2g08200	Os01t0237000-01
bdis_cds	osat_cds	0.0903	0.5644	0.1600	Bradi4g40550	Os12t0194700-01
bdis_cds	osat_cds	0.0591	0.4410	0.1340	Bradi5g05140	Os03t0804300-01
bdis_cds	osat_cds	0.1093	0.5185	0.2108	Bradi5g12240	Os04t0458200-01
bdis_cds	osat_cds	0.1000	0.2981	0.3353	Bradi4g05917	Os12t0533800-01
bdis_cds	osat_cds	0.7014	0.5494	1.2767	Bradi5g07920	Os08t0430800-02
bdis_cds	osat_cds	0.1395	1.4147	0.0986	Bradi1g02107	Os03t0842900-01
bdis_cds	osat_cds	0.2153	0.5829	0.3693	Bradi1g49150	Os06t0153600-02
bdis_cds	osat_cds	0.5029	0.4238	1.1866	Bradi5g03530	Os11t0691280-00
bdis_cds	osat_cds	0.0652	0.4098	0.1590	Bradi3g18140	Os08t0223900-01
bdis_cds	osat_cds	0.0340	0.4959	0.0685	Bradi2g50250	Os01t0756600-01
bdis_cds	osat_cds	0.0463	2.5222	0.0183	Bradi5g26460	Os04t0681900-01
bdis_cds	osat_cds	0.0652	0.5278	0.1236	Bradi4g20338	Os11t0276000-01
bdis_cds	osat_cds	0.0560	0.5352	0.1047	Bradi2g04220	Os01t0168600-01
bdis_cds	osat_cds	0.1059	0.5513	0.1920	Bradi2g07082	Os01t0218800-01
bdis_cds	osat_cds	0.1985	0.2348	0.8452	Bradi1g14750	Os03t0610400-01
bdis_cds	osat_cds	0.3626	1.2746	0.2845	Bradi3g13150	Os08t0104400-01
bdis_cds	osat_cds	0.0803	0.3541	0.2266	Bradi2g25870	Os05t0402300-02
bdis_cds	osat_cds	0.1591	0.4946	0.3216	Bradi3g51490	Os02t0673500-01
bdis_cds	osat_cds	0.1673	0.5864	0.2852	Bradi1g14250	Os12t0601000-00
bdis_cds	osat_cds	0.0583	0.3913	0.1491	Bradi2g21980	Os05t0486200-01
bdis_cds	osat_cds	0.1310	0.7123	0.1840	Bradi2g20687	Os05t0501400-01
bdis_cds	osat_cds	0.0282	0.3857	0.0731	Bradi1g61260	Os03t0376100-01
bdis_cds	osat_cds	0.4642	0.7037	0.6597	Bradi3g54885	Os03t0295300-01
bdis_cds	osat_cds	0.1494	0.4594	0.3252	Bradi5g16830	Os04t0534300-01
bdis_cds	osat_cds	0.0778	0.4455	0.1747	Bradi3g37610	Os11t0241900-01
bdis_cds	osat_cds	0.1656	1.5464	0.1071	Bradi2g44020	Os05t0584200-01
bdis_cds	osat_cds	0.2198	1.9053	0.1153	Bradi1g37470	Os02t0220100-00
bdis_cds	osat_cds	0.0286	0.4414	0.0648	Bradi1g11317	Os03t0711200-01
bdis_cds	osat_cds	0.2880	0.4800	0.6001	Bradi2g01420	Os01t0119000-01
bdis_cds	osat_cds	0.6053	0.8655	0.6994	Bradi4g20511	Os01t0930300-01
bdis_cds	osat_cds	0.0480	1.1110	0.0432	Bradi5g15850	Os02t0628200-01
bdis_cds	osat_cds	0.0966	0.4972	0.1943	Bradi3g27136	Os10t0431000-03
bdis_cds	osat_cds	0.0586	0.3366	0.1740	Bradi2g42932	Os01t0604700-01
bdis_cds	osat_cds	0.1645	0.6202	0.2653	Bradi5g22017	Os03t0306200-01
bdis_cds	osat_cds	0.0174	0.5050	0.0344	Bradi3g22550	Os10t0167300-01
bdis_cds	osat_cds	0.1659	0.5499	0.3017	Bradi2g47560	Os01t0701900-01
bdis_cds	osat_cds	0.1171	0.4113	0.2848	Bradi3g48540	Os02t0612000-01
bdis_cds	osat_cds	0.3497	1.1802	0.2963	Bradi2g36170	Os11t0212100-00
bdis_cds	osat_cds	0.0496	1.5045	0.0330	Bradi4g41040	Os12t0181600-01
bdis_cds	osat_cds	0.1109	0.5457	0.2032	Bradi1g41840	Os06t0367500-01
bdis_cds	osat_cds	0.1249	0.3991	0.3130	Bradi3g30790	Os10t0508500-00
bdis_cds	osat_cds	0.0923	1.2953	0.0713	Bradi5g01240	Os11t0507200-00
bdis_cds	osat_cds	0.1259	0.6848	0.1839	Bradi3g35340	Os08t0398800-02
bdis_cds	osat_cds	0.0582	0.4310	0.1351	Bradi3g34050	Os10t0573100-01
bdis_cds	osat_cds	0.1113	0.4856	0.2291	Bradi1g14660	Os03t0616300-01
bdis_cds	osat_cds	0.1118	2.9687	0.0377	Bradi3g24410	Os10t0351700-01
bdis_cds	osat_cds	0.0289	0.9231	0.0313	Bradi1g36400	Os06t0607800-01
bdis_cds	osat_cds	0.1765	0.4834	0.3651	Bradi1g21470	Os01t0610300-01
bdis_cds	osat_cds	0.0315	0.6940	0.0454	Bradi1g62930	Os03t0341100-01
bdis_cds	osat_cds	0.2054	0.9956	0.2063	Bradi1g52220	Os02t0105500-01
bdis_cds	osat_cds	0.0953	0.4215	0.2261	Bradi1g62310	Os03t0352800-01
bdis_cds	osat_cds	0.0785	0.3248	0.2418	Bradi5g24590	Os04t0658300-01
bdis_cds	osat_cds	0.0007	0.6772	0.0010	Bradi3g14980	Os08t0191600-01
bdis_cds	osat_cds	0.2150	0.9490	0.2266	Bradi3g48800	Os02t0616100-01
bdis_cds	osat_cds	0.0659	0.7107	0.0927	Bradi5g14640	Os04t0498600-01
bdis_cds	osat_cds	0.0444	0.3384	0.1312	Bradi2g00650	Os01t0106900-01
bdis_cds	osat_cds	0.1205	0.5344	0.2256	Bradi5g12260	Os04t0458300-01
bdis_cds	osat_cds	0.3525	0.3801	0.9276	Bradi2g06340	Os01t0201800-00
bdis_cds	osat_cds	0.0636	0.4482	0.1420	Bradi2g56710	Os01t0877500-01
bdis_cds	osat_cds	0.0871	0.3571	0.2440	Bradi3g04147	Os02t0152600-01
bdis_cds	osat_cds	0.0530	0.4413	0.1200	Bradi3g14250	Os08t0129600-01
bdis_cds	osat_cds	0.3252	0.3008	1.0812	Bradi1g62910	Os08t0391700-00
bdis_cds	osat_cds	0.3087	0.7665	0.4027	Bradi2g02755	Os02t0669500-01
bdis_cds	osat_cds	0.5995	0.5814	1.0310	Bradi2g15220	Os04t0163800-01
bdis_cds	osat_cds	0.1985	0.7988	0.2484	Bradi4g31740	Os09t0448500-01
