Reference_Species	Query_Species	dN	dS	dNdS	Reference_Gene	Query_gene
bdis_ABR2	osat_cds	0.1662	0.3711	0.4479	Brdisv1ABR21021060m	Os07t0471100-01
bdis_ABR2	osat_cds	0.0485	0.5239	0.0926	Brdisv1ABR21008798m	Os07t0227400-01
bdis_ABR2	osat_cds	0.1035	0.6059	0.1708	Brdisv1ABR21040346m	Os02t0786200-01
bdis_ABR2	osat_cds	0.0068	0.5799	0.0117	Brdisv1ABR21024467m	Os11t0634500-00
bdis_ABR2	osat_cds	0.1161	1.0003	0.1161	Brdisv1ABR21001858m	Os03t0701100-01
bdis_ABR2	osat_cds	0.0802	0.9715	0.0826	Brdisv1ABR21021971m	Os01t0854500-01
bdis_ABR2	osat_cds	0.2241	0.5098	0.4396	Brdisv1ABR21036840m	Os08t0499300-01
bdis_ABR2	osat_cds	0.0999	1.1868	0.0841	Brdisv1ABR21028053m	Os09t0386200-01
bdis_ABR2	osat_cds	0.3457	0.8917	0.3877	Brdisv1ABR21012812m	Os07t0153600-01
bdis_ABR2	osat_cds	0.6497	0.8321	0.7807	Brdisv1ABR21038878m	Os01t0627500-01
bdis_ABR2	osat_cds	0.1369	0.5356	0.2555	Brdisv1ABR21021583m	Os01t0811400-01
bdis_ABR2	osat_cds	0.0248	0.2185	0.1133	Brdisv1ABR21011859m	Os03t0209400-01
bdis_ABR2	osat_cds	0.2928	0.3365	0.8701	Brdisv1ABR21006780m	Os06t0487900-01
bdis_ABR2	osat_cds	0.1180	0.4376	0.2697	Brdisv1ABR21007929m	Os06t0163200-01
bdis_ABR2	osat_cds	0.1207	1.0459	0.1154	Brdisv1ABR21042792m	Os07t0283050-00
bdis_ABR2	osat_cds	0.0532	0.8842	0.0601	Brdisv1ABR21013139m	Os10t0564800-01
bdis_ABR2	osat_cds	0.0582	0.4352	0.1337	Brdisv1ABR21029491m	Os09t0559800-01
bdis_ABR2	osat_cds	0.1405	1.3114	0.1071	Brdisv1ABR21004486m	Os07t0503900-01
bdis_ABR2	osat_cds	0.0953	0.4012	0.2375	Brdisv1ABR21044489m	Os04t0682900-01
bdis_ABR2	osat_cds	0.0735	0.8066	0.0911	Brdisv1ABR21007626m	Os06t0198500-00
bdis_ABR2	osat_cds	0.1752	0.5325	0.3291	Brdisv1ABR21000574m	Os03t0820600-01
bdis_ABR2	osat_cds	0.3049	0.4714	0.6468	Brdisv1ABR21039576m	Os02t0817800-02
bdis_ABR2	osat_cds	0.0667	0.4654	0.1433	Brdisv1ABR21005631m	Os06t0682900-01
bdis_ABR2	osat_cds	0.1746	0.6811	0.2563	Brdisv1ABR21046960m	Os11t0226933-01
bdis_ABR2	osat_cds	0.2260	0.8125	0.2781	Brdisv1ABR21017368m	Os05t0403600-01
bdis_ABR2	osat_cds	0.2932	0.7166	0.4091	Brdisv1ABR21019573m	Os01t0937300-01
bdis_ABR2	osat_cds	0.0961	0.8769	0.1096	Brdisv1ABR21001815m	Os03t0711600-02
bdis_ABR2	osat_cds	0.2952	1.1390	0.2592	Brdisv1ABR21007958m	Os06t0158800-01
bdis_ABR2	osat_cds	0.0521	0.9791	0.0532	Brdisv1ABR21041476m	Os04t0408600-01
bdis_ABR2	osat_cds	0.0552	0.4449	0.1241	Brdisv1ABR21002191m	Os03t0650900-01
bdis_ABR2	osat_cds	0.1759	0.9114	0.1930	Brdisv1ABR21008843m	Os07t0211700-00
bdis_ABR2	osat_cds	0.2009	1.2828	0.1566	Brdisv1ABR21003502m	Os10t0370700-01
bdis_ABR2	osat_cds	0.1226	0.3385	0.3622	Brdisv1ABR21012130m	Os03t0186100-01
bdis_ABR2	osat_cds	0.0735	0.5045	0.1457	Brdisv1ABR21000056m	Os03t0860900-01
bdis_ABR2	osat_cds	0.0398	0.4576	0.0870	Brdisv1ABR21037293m	Os08t0544900-01
bdis_ABR2	osat_cds	0.0382	1.0833	0.0352	Brdisv1ABR21038486m	Os02t0627100-01
bdis_ABR2	osat_cds	0.1864	0.5422	0.3438	Brdisv1ABR21024638m	Os12t0596000-02
bdis_ABR2	osat_cds	0.0680	0.5288	0.1286	Brdisv1ABR21044500m	Os03t0655700-01
bdis_ABR2	osat_cds	0.1479	0.9608	0.1539	Brdisv1ABR21046930m	Os01t0909300-00
bdis_ABR2	osat_cds	0.0893	0.8837	0.1010	Brdisv1ABR21030270m	Os03t0845700-01
bdis_ABR2	osat_cds	0.1882	1.5599	0.1207	Brdisv1ABR21001928m	Os03t0692700-01
bdis_ABR2	osat_cds	0.0857	0.4412	0.1943	Brdisv1ABR21005053m	Os06t0726400-01
bdis_ABR2	osat_cds	0.0420	0.5133	0.0818	Brdisv1ABR21001042m	Os03t0783000-01
bdis_ABR2	osat_cds	0.1151	0.4882	0.2358	Brdisv1ABR21031673m	Os02t0168700-01
bdis_ABR2	osat_cds	0.2025	0.2522	0.8030	Brdisv1ABR21023952m	Os12t0586300-00
bdis_ABR2	osat_cds	0.1265	1.0869	0.1164	Brdisv1ABR21027266m	Os12t0163400-01
bdis_ABR2	osat_cds	0.1683	2.1203	0.0794	Brdisv1ABR21039373m	Os02t0799700-01
bdis_ABR2	osat_cds	0.4666	0.5822	0.8014	Brdisv1ABR21031127m	Os10t0429300-00
bdis_ABR2	osat_cds	0.3795	0.5616	0.6758	Brdisv1ABR21000305m	Os02t0324300-01
bdis_ABR2	osat_cds	0.1206	0.7430	0.1624	Brdisv1ABR21015256m	Os09t0452700-00
bdis_ABR2	osat_cds	0.4805	0.7122	0.6746	Brdisv1ABR21045209m	Os12t0592500-01
bdis_ABR2	osat_cds	0.0890	1.0272	0.0866	Brdisv1ABR21029203m	Os09t0532900-01
bdis_ABR2	osat_cds	0.6081	0.4984	1.2201	Brdisv1ABR21035722m	Os07t0517700-00
