Reference_Species	Query_Species	dN	dS	dNdS	Reference_Gene	Query_gene
bdis_ABR2	bdis_ABR2	0.8018	0.6140	1.3060	Brdisv1ABR21025651m	Brdisv1ABR21041791m
bdis_ABR2	bdis_ABR2	0.1104	0.8220	0.1343	Brdisv1ABR21008798m	Brdisv1ABR21000632m
bdis_ABR2	bdis_ABR2	0.0713	0.2857	0.2494	Brdisv1ABR21008045m	Brdisv1ABR21008042m
bdis_ABR2	bdis_ABR2	0.0008	0.7797	0.0010	Brdisv1ABR21024467m	Brdisv1ABR21025500m
bdis_ABR2	bdis_ABR2	0.3557	1.9113	0.1861	Brdisv1ABR21004215m	Brdisv1ABR21004217m
bdis_ABR2	bdis_ABR2	0.8013	0.9504	0.8431	Brdisv1ABR21026699m	Brdisv1ABR21046906m
bdis_ABR2	bdis_ABR2	0.0369	0.0004	99.0000	Brdisv1ABR21006606m	Brdisv1ABR21046873m
bdis_ABR2	bdis_ABR2	0.0598	0.0654	0.9140	Brdisv1ABR21042598m	Brdisv1ABR21027056m
bdis_ABR2	bdis_ABR2	0.0344	0.1079	0.3188	Brdisv1ABR21041180m	Brdisv1ABR21041181m
bdis_ABR2	bdis_ABR2	0.0947	0.8512	0.1112	Brdisv1ABR21023627m	Brdisv1ABR21031631m
bdis_ABR2	bdis_ABR2	0.1821	1.2870	0.1415	Brdisv1ABR21011859m	Brdisv1ABR21003803m
bdis_ABR2	bdis_ABR2	0.6047	0.9175	0.6591	Brdisv1ABR21021583m	Brdisv1ABR21009595m
bdis_ABR2	bdis_ABR2	0.2894	0.4277	0.6765	Brdisv1ABR21028741m	Brdisv1ABR21008934m
bdis_ABR2	bdis_ABR2	0.3556	0.7344	0.4841	Brdisv1ABR21034504m	Brdisv1ABR21027658m
bdis_ABR2	bdis_ABR2	0.0602	0.8974	0.0671	Brdisv1ABR21013139m	Brdisv1ABR21035945m
bdis_ABR2	bdis_ABR2	0.2365	2.0271	0.1167	Brdisv1ABR21029491m	Brdisv1ABR21043552m
bdis_ABR2	bdis_ABR2	0.2137	2.2944	0.0931	Brdisv1ABR21007626m	Brdisv1ABR21036569m
bdis_ABR2	bdis_ABR2	0.2556	3.2899	0.0777	Brdisv1ABR21000574m	Brdisv1ABR21018723m
bdis_ABR2	bdis_ABR2	0.1854	0.8043	0.2305	Brdisv1ABR21021602m	Brdisv1ABR21016704m
bdis_ABR2	bdis_ABR2	0.2217	0.9437	0.2349	Brdisv1ABR21046960m	Brdisv1ABR21040915m
bdis_ABR2	bdis_ABR2	0.0568	0.1834	0.3098	Brdisv1ABR21019573m	Brdisv1ABR21022827m
bdis_ABR2	bdis_ABR2	0.1656	2.0943	0.0791	Brdisv1ABR21041476m	Brdisv1ABR21037755m
bdis_ABR2	bdis_ABR2	0.0569	0.6829	0.0833	Brdisv1ABR21041436m	Brdisv1ABR21041435m
bdis_ABR2	bdis_ABR2	0.5246	1.4196	0.3695	Brdisv1ABR21002191m	Brdisv1ABR21003004m
bdis_ABR2	bdis_ABR2	0.0989	0.1211	0.8167	Brdisv1ABR21025155m	Brdisv1ABR21025157m
bdis_ABR2	bdis_ABR2	0.1546	0.1920	0.8053	Brdisv1ABR21023302m	Brdisv1ABR21003757m
bdis_ABR2	bdis_ABR2	0.0995	0.3350	0.2971	Brdisv1ABR21027825m	Brdisv1ABR21036225m
bdis_ABR2	bdis_ABR2	0.1054	1.7720	0.0595	Brdisv1ABR21037293m	Brdisv1ABR21012912m
bdis_ABR2	bdis_ABR2	0.3262	1.5196	0.2146	Brdisv1ABR21002696m	Brdisv1ABR21001262m
bdis_ABR2	bdis_ABR2	0.0265	0.5057	0.0524	Brdisv1ABR21038486m	Brdisv1ABR21038488m
bdis_ABR2	bdis_ABR2	0.0069	0.0271	0.2532	Brdisv1ABR21024638m	Brdisv1ABR21046800m
bdis_ABR2	bdis_ABR2	0.0837	0.2136	0.3916	Brdisv1ABR21046930m	Brdisv1ABR21022541m
bdis_ABR2	bdis_ABR2	0.0779	0.1551	0.5024	Brdisv1ABR21038439m	Brdisv1ABR21038440m
bdis_ABR2	bdis_ABR2	0.0155	0.1438	0.1078	Brdisv1ABR21030270m	Brdisv1ABR21043468m
